2025-09-30 01:44:21 | INFO | [ok] 2025-09-30 01:44:21 | Bob | plain ex=1 qm=0 len=37
2025-09-30 01:44:26 | INFO | [ok] 2025-09-30 01:44:26 | Charlie | plain ex=1 qm=0 len=36
2025-09-30 01:44:31 | INFO | [ok] 2025-09-30 01:44:31 | Bob | plain ex=1 qm=0 len=41
2025-09-30 01:44:36 | INFO | [ok] 2025-09-30 01:44:36 | Charlie | excited ex=1 qm=0 len=35
2025-09-30 01:44:41 | INFO | [ok] 2025-09-30 01:44:41 | Alice | plain ex=1 qm=0 len=36
2025-09-30 01:44:46 | INFO | [ok] 2025-09-30 01:44:46 | Eve | excited ex=1 qm=0 len=37
2025-09-30 01:44:51 | INFO | [ok] 2025-09-30 01:44:51 | Bob | plain ex=1 qm=0 len=32
2025-09-30 01:44:56 | INFO | [ok] 2025-09-30 01:44:56 | Eve | excited ex=1 qm=0 len=35
2025-09-30 01:45:01 | INFO | [ok] 2025-09-30 01:45:01 | Charlie | excited ex=1 qm=0 len=37
2025-09-30 01:45:06 | INFO | [ok] 2025-09-30 01:45:06 | Bob | excited ex=1 qm=0 len=36
2025-09-30 01:45:11 | INFO | [ok] 2025-09-30 01:45:11 | Eve | excited ex=1 qm=0 len=34
2025-09-30 01:45:16 | INFO | [ok] 2025-09-30 01:45:16 | Bob | plain ex=1 qm=0 len=37
2025-09-30 01:45:21 | INFO | [ok] 2025-09-30 01:45:21 | Bob | plain ex=1 qm=0 len=38
2025-09-30 01:45:26 | INFO | [ok] 2025-09-30 01:45:26 | Alice | excited ex=1 qm=0 len=32
2025-09-30 01:45:31 | INFO | [ok] 2025-09-30 01:45:31 | Bob | plain ex=1 qm=0 len=35
